label,sms
ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
ham,"Aight I'll grab something to eat too, text me when you're back at mu"
ham,"Geeeee ... Your internet is really bad today, eh ?"
ham,Haven't left yet so probably gonna be here til dinner
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
ham,Goin to workout lor... Muz lose e fats... 
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?
spam,Last chance 2 claim ur Ì´å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. Ì´å£3.00 Sub. 16 . Remove txt X or STOP
ham,Mmm thats better now i got a roast down me! iÌ´Ì¥d b better if i had a few drinks down me 2! Good indian?
spam,XMAS iscoming & ur awarded either Ì´å£500 CD gift vouchers & free entry 2 r Ì´å£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription 
ham,Wot is u up 2 then bitch?
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or Ì´å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
ham,Wait  &lt;#&gt;  min..
ham,Yo im right by yo work
ham,Excellent! Are you ready to moan and scream in ecstasy?
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
ham,"I'll text carlos and let you know, hang on"
ham,"Found it, ENC  &lt;#&gt; , where you at?"
ham,Hi.:)technical support.providing assistance to us customer through call and email:)
ham,stupidits not possible
ham,yeah ill try to scrounge something up
ham,keep yourself safe     because   need you     miss you already     envy everyone that sees you   real life
ham,did   say how fantastic     by any chance or anything need a bigger life     losing the will  live   you think   would   the   person  die from   v q 
ham,now im going out  dinner  
ham,  ish minutes was  minutes ago wtf
ham,what   mean     done done     but       going to take a nap yup   send her liao so im picking her up at ard  smth  
ham,  always needs a beautiful   caring   adjustable cooperative wife but the   allows only   wife
ham,actually   mobile is   of msg       doing a   online where   need to send them     sent msg   wil explain   later
ham,nokia phone is lovly
ham,im   the text   just sent you its meant to   a joke so read it   that  
ham,goodo yes we must speak    eggpotato ratio     needed 
ham,haha sounds crazy dunno can tahan anot
ham,nothin comes to      help   buy hanger     laptop not heavy
ham,superb     grateful that     have     want that means   still have an opportunity to   happier   than   are  
ham, 
ham,yup hey     day   fri we can   miwa   jiayin take     karaoke 
ham,how come
ham,  surfing online store   offers   you want to buy any thing
ham, tension face  smiling face  waste face  innocent face terror face cruel face romantic face lovable face decent face    joker face
spam,well done england get the official poly ringtone or       yer mobile text tone or   to  now   txt   stop box wwx 
ham,yes     the cheesy songs from frosty the snowman 
ham,haha awesome       a  
spam,dear xxxxxxx   been invited to xchat this is our final attempt to contact   txt chat to    ldn  
ham,idc get     you are not weaseling your way out of this   twice   a row
ham, nightswe nt   at port step liaotoo ex
ham,dunno cos   was v late           inside already but we   spageddies   its e       laughing at    
ham,sorry ill   later
ham,hi happy new year     mean to intrude but can you pls       how much tuition you   last semester   how much this semester is  
spam,december only had your mobile mths you are entitled to update to the latest     mobile   free   the mobile update co free    
ham,  dessert          suntec look   
ham,your gonna   the death if   im gonna   a note that says its all robs fault avenge  
ham,  just got outta class
ham,  not interested to     that
ham,  not   late love mum
ham,loosu   to hospital       it careless
ham,  always chat   you       need   can you raise  
spam,you are guaranteed the latest nokia phone a   ipod mp   or a  prize txt     to no  ibhltd ldnwh pmtmsgrcvd
ham,hope things went well at doctors  reminds     still need godid   c   little thing       the lounge
ham,  you dint come   us
ham,ok     we meeting later
spam,want to funk up   fone   a weekly new tone   tonesu  this text wwwringtonescouk the original   best tones gbp network operator rates apply
ham,can  send   a copy of da report
ham,nite
ham,    different styles
ham,ok but   said ive got   teeth hidden inside   mayb need  remove
spam,urgent you have won a  week free membership   our  prize jackpot txt the     to no  tc wwwdbuknet lccltd pobox ldnwarw
ham,youre not   that im not trying to   xavier smoke because     want to smoke after being told   smoke too much
spam,   your continued support your   this week will enter     our draw   cash   the new us president txt   to 
ham,ssi thinl role is   sachinjust standing   have to hit
ham,oh k    will come  
ham,ok that would   lovely if       think about wot   want to   drinkin dancin eatin cinema   out about up to   wot about  
spam,    your ringtone order reference number xyour mobile will      should your tone not   please   customer services 
ham,im gonna miss   so much
ham,brainless baby dolld vehicle sariyag drive madoke barolla
ham,    keep   non stop or        elsewhere
ham,kinda     gets   at twelve aah speak tomo
ham,good night   dear sleepwellamptake care
ham,ron say fri leh     said ding tai feng cant   reservations but   said wait  
ham,id have to check but theres only    bowls    
ham,sorry ill   later
ham,hes just gonna worry         wont give you   its no use
ham,ee msg na poortiyagi odalebeku hanumanji    hanuman bajarangabali maruti pavanaputra sankatmochan ramaduth mahaveer ee        janarige ivatte kalisidare next saturday olage ondu good   keluviri maretare inde  dodda problum nalli siguviri idu matra     true   neglet
ham,anything   if   all          
ham,the   leaves at    
ham,lmao you     so well
ham,sorry     lock   keypad
ham,    expect it to   done before you get back though because im just now headin out
ham,lara said   can        
ham,    that much bad to avoid   this
ham,  is os   ubandu   will run   installing   hard diskyou can use that os to copy the important         give it to   shop
spam,  germany   only  pence       from a fixed line via   number     no prepayment direct  
ham,        youve got the   so carlos can   the  
ham,  sent you      
spam,great     freefone  to   your guaranteed  cash or    speak to a live operator now
ham,no dear     have free messages   any recharge hi hi hi
ham,mostly sports typelyk footblcrckt
spam,urgent    from landline your complimentary  tenerife holiday or  cash await collection sae tcs box  hp yf ppm 
ham,your right ill   the   right now
ham,a few   are at the   im at the mall   iouri   kaila
ham,  not at home now lei
ham,im stuck   da middle of da row   da right hand   of da lt 
ham,lol no   can trust  
spam,urgent urgent we have  free   to europe to give away     th sept  take a friend  free   now to      bannfwflyppm
ham,come to     your doing it again  going   your shell   unconsciously avoiding    you are making   unhappy 
ham,crazy ar hes married    gd looking guys not         say hes korean leonas fave but     thk   is aft   thinking mayb   prob ill  
ham,if you have     come to   home
spam,congrats  mobile g     yours    now videochat   your mates play java     polyph   noline rentl
ham,we have to pick rayan macleran  
ham,  wat     doing now busy    
ham,it     sense to take it   unless its free if you need to   more wikipediacom
ham,  more happy returns of the day     you happy birthday
ham,  painit will come down todaydo     said ystrdayice    
ham,  sent them   you  
ham,same                   already ah wat   doing now still eating
ham,ah well that confuses things   it     was friends   now     did the   thing but   already sort of invited tho   may not come cos of  
ham,  cant keep   to   if   not     can   them if   agree to   so pls tell   what you want to really buy   how much you are willing to  
ham,hey     fancy meetin   at  at cha    a lil beverage     if not txt or ring     we can meet up lr   tired got   at  vpist  love   x x x
ham,hi can   please get a     dollar   from you ill   you back by mid february pls
ham,indians     but india is not a   country says   of the swiss bank directors   says that     lac crore of indian   is deposited   swiss     can       taxless budget         can give     crore jobs to all indians from any village to delhi  lane     free power suply to more than     social projects every citizen can get monthly             no need of world bank amp imf   think how our   is blocked by   politicians we have   rights against corrupt politicians itna forward karo ki pura india padhegm
ham,where   been hiding stranger
ham,dear good morning how you feeling dear
ham,hi   how was   did   get   trouble ijust talked to your mum all morning   had a really good time last night im goin out   but     if   can
ham,hey next sun  theres a basic yoga course at   we can     that   intro next sat tell   what time you   free
ham,yup its at paragon   havent decided whether  cut yet hee
ham,  love ya too but try   budget your   better babe gary would freak     if   knew
ham,what   tell     went to bath
ham,  had it alreadysabarish asked   to  
ham,  should add that     really care   if you cant   can at least get this dude to     but hey your   if you want it
ham,sounds     could   a lot of time     that chastity device boy  grins  or take your beatings   a good dog going to lounge   a nice long bath now 
ham,k   might come by tonight   if   class lets out early
ham,  need an th but im   campus atm could   pick up   an hour or two
spam,babe   want       baby im nasty   have a thing  filthyguys fancy a rude time   a sexy bitch how about we   slo   hard txt   slomsgs
ham,kkadvance happy pongal
spam,  the simpsons movie     july    the band that died at the start of the film agreen day bblue day cred day send a   or c
ham,  cant     have her number
ham,im home
ham,can you pls send   that company     saibaba colany
spam,lord of the ringsreturn of the king   store nowreply lotr by     chance    lotr soundtrack cds stdtxtrate   stop to    
ham,yo   you   anyone     or     to buy liquor our   flaked   right now if we   get a hold of somebody its just  loko all night
spam,you are a winner you have been specially selected to receive  cash or a  award speak to a live operator to     ampm    
ham,      don forget
spam,todays voda numbers ending    are selected to receive a  reward if you have a match please    quoting   code  standard rates apply
ham,ard       
ham,im watching lotr w   sis dis aft so      meet    dinner at nite a not
ham,was it something    
ham,    you peoples very much but   very shy  
ham,  so   run already come back   half dead hee
ham,are you comingdown later
ham,  went to   centre
spam,sppok up       a halloween collection of nokia       a free eerie tone txt card spook to 
ham,   cbe    chennai
ham,kkthis month kotees birthday  
spam,we tried to   you   your   to our sms   a video mobile    unlimited text  free camcorder   of    now
ham,well   might not come  
spam,   have a secret     is looking    contact     out     rreveal   thinks   so specialcall   
ham,     rajas burrito right
ham,          to cal lets meet bhaskar    
ham,good night   going to sleep
spam,hot live fantasies   now  just       ntt ltd po box  croydon   wb k
ham, 
ham,babe im answering you cant you see        better reboot ym    got the photo  its great 
ham,    are going to the village pub at  so either come   or   accordingly ok
ham,    joining   formallypls keep prayingwill   later
spam,urgent your mobile was awarded a  bonus caller prize    our final attempt  contact     
ham,appt is at lttimegt   not   fault     listen   told   twice
ham, 
ham,thats alrite       gail is neva wrongtake care sweet     worryc   ltr hunlove yaxxx
ham,night has       day morning has come   a special way may you     the sunny     leaves your   at the     bay
ham,what does the dance river  
ham,jordan got voted out last nite
spam,urgent we are trying to contact   todays draw   that you have won a  prize guaranteed    from land line   j po boxcpm
ham,that means you got an a   epi   fine     now
spam,new   from  must   txt nokia to no     yours   from only  wwwtcbiz   gbpmtmsg txtauction
ham,  just getting msgs by dis     different nos
ham,msgs   not time passthey silently say that     thinking of   right now   also making   think of   at least  a moment gd ntswt drms shesil
ham,but we havent got da topic yet rite
ham,its that time of the week again ryan
ham,ha ha ha good joke girls are situation seekers
ham,somebody set up a website where you can play hold em using   online spacebucks
ham,good     boytoy  how are you feeling    better   hope are you being   good boy are you   obedient     you please your queen
spam,free msg sorry a service you ordered from  could not       you   not have sufficient   please top up to receive the service
ham,so is   anything specific   should   doing   regards to jaklin or what because idk what the  
ham,dunno lei   might   eatin       if    to eat     wait    
ham,    vday shirts       put it   it makes your bottom half naked instead of   white underwear
ham,neft transaction   reference number         ltdecimalgt  has been credited to the beneficiary account       at  lttimegt   
ham,yes   reg is  ciao
ham,sad   of a man  last week was       wife didnt         forgot   so did   kids    went to   even   colleagues did not       entered         said  happy   boss    felt special   askd    lunch after lunch   invited   to her apartment we went     said       if       the bedroom   a     ok   sed   a sexy       out  minuts     a caken   wife           friends     colleagues all screaming        was waiting   the sofa    naked
ham,where you what happen
spam,back    morro half term   can   c   nite    sexy passion     have    back chat now    dena   minmobsmorelkpoboxhpfl
ham,naughty little   its better to flirt flirt   flirt rather than   someone   gettin hurt hurt   hurt gud  
ham,rofl its true to its  
ham,  sorry just to check that you     picking   up tomo at half eight from station would that   ok
ham,just got up have to   out of the room very      hadnt put the clocks back til at      at everyone to get up     realised it was  wahay   hour   bed
ham,at the   home   audrey   dad
ham,lol   real   told   dad   have  
ham,messagesome text   sendername   number   sentdate       a lot thats     is   sent via fullonsmscom
ham,yeah right ill       measure fri
ham,    eaten wat time        come
ham,nutter cutter ctter cttergg cttargg ctargg ctagg   you
ham,  only weekdays got special   haiz cant eat liao cut nails oso muz wait until     drivin wat lunch still muz eat wat 
ham,how much are we getting
ham,hurry home   big butt hang up   your last caller if   have to food is done   im starving     what    
ham,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriageprogram edhae so lyf is nt yet ovr chikkuali vargu lyfu meow meowd
ham,  will     home       minutes
ham,that said can you text him   more time
spam,urgent your mobile no was awarded a  bonus caller prize    this is our nd attempt to contact you    boxqu
ham,  fret ill buy the ovulation   strips   send them to you you wont get them til   march can you send   your postal addressull   alrightokay
ham,  has   of   ones babe but the     help youi have to   it     hell match it up
ham,hope you are not scared
ham,cool so how come you havent been wined   dined before
ham,  have a nice day     love you so dearly
ham,      reached         to connect  
spam,urgent we are trying to contact   todays draw   that you have won a  prize guaranteed    from land line   c valid hrs only
ham,getting tickets  walsall tue  th march   mate is getting   them   sat ill     treat want    txt   terry
ham,please protect yourself from     never asks         passwordsatmsms pin   email never share your password    
ham,dunno        
ham,love that holiday monday feeling even if   have to   to the dentists   an hour
ham,hey something   up last   think       signing up tmr hee
ham,you will   to walmart ill  
ham,  is cheating that is not mathematics
ham,hey you can     salary   only    
ham,thnx dude   guys out nite
spam,how about getting   touch   folks waiting   company just txt back your     age to opt   enjoy the community psms
ham,hey thk we     accordin to wat we discussed     except no kb   sun cos theres nt much lesson to   if we   kb   sat
ham,theres someone   that has a year     toyota camry   mr olayiwolas own mileage is    kits clean but   need to   how much will it     if   can raise the dough   it how   after landing will it   holla back
ham,sez hows      arab boy hope     all good give   love  evry love ya eshxxxxxxxxxxx
ham,no other     the proof is   your fb     im so glad   really didnt   your rupaul   you tool
ham,im taking derek amp taylor to walmart if im not back by the time youre done just   the mouse     desk   ill text you   priscillas ready
ham,we have sent jd   customer service cum accounts executive to   mail id     contact us
ham,your daily text from    a favour this time
ham,ive got   salt you can rub it     open wounds if you  
ham,  only   from   to   but sat   cant leh booked liao   other day   free
ham,sorry man       phone     last night   didnt check it til   got up
ham,any     urination any thing  
ham,sorry ill   later
ham,so how   days    
ham,new theory argument wins   situation but loses the person so         friends just    kick them amp say im always  
ham,you need to get up now
ham,        you want da
ham,    too much   to   heart if     away   will   shattered plz      
ham,how is it possible to teach you   where
ham,hey anyway   have to 
ham,hi juan im coming home   fri hey of course   expect a welcome       of presents ill phone       get back loads of love nicky x x x x x x x x x
spam,freemsg      sms messagestext ok to  nowuse webmobile    mates   join txtcom   pwk tc box lawu   remove txtx or stop
ham,  not working but   up to     philosophy so will text   later   a bit more free   chat
spam,sunshine hols to     med holiday send a   self     to     us uk po box  bray     quiz starts saturday unsub stop
ham,    was     said oh no   idiot   you were  
ham,hey    want you      you    miss you    need you    love you   saeed   hallaq 
ham,dunno da next   aft  is  toa   got 
ham,  was just callin to say hi take care bruv
spam,themob check out our newest selection of content   tones   babes     keep your mobile fit   funky text wap to 
ham,dear all   we      th is the    th birthday of our   gopalettan we are planning to give a small     that day       to participate   that you are welcome please contact our admin     more  
ham,  also knows about lunch menu only da     
ham,    you have any   that can teach   how to ship  
ham,  if   get an acknowledgement from you that its astoundingly tactless   generally faggy to demand a blood oath fo
ham,science tells that chocolate will melt   the sunlight please       the sunlight bcozi   want to   a sweet friend
ham,hi hope   get this txtjourney hasnt been gdnow about    late   think
spam,someone has   our dating service   entered your phone because   fancy you to   out   it is   from a landline   poboxntfp
ham,si will take mokka players only
ham,   come   pick   at  ar
ham,ok ksry   knw  sivatats     askd
ham,lol   have to take it   how   said   aunt flow didnt visit    months its     developed ovarian cysts bc is the only way to shrink them
ham,  gonna swing by   a wee bit
ham,lol    knew that    saw him   the dollar store
ham,  got   job the   at the hospital doing data analysis or something starts   monday not       thesis will got  
ham,  wonder how you got online   love  had you gone to the net cafe  did you get your phone recharged  were you   a friends net    think of you boytoy
ham,im   a movie   car oredi
spam,sexy sexy cum   text   im wet   warm   ready     porn   up     fun this msg is free recd msgs   inc vat  cancel text stop
ham,sorry     went to shop
ham,how are you doing hope youve settled     the new school year just wishin you a gr day
ham,we spend our days waiting   the ideal path to appear   front of us but what we forget is paths are made by walking not by waiting goodnight
ham,  g or iouri ive told the     ten times already
ham,cool text     youre ready
ham,    send that exe to your mail id
ham,yes please   at     so that at     we can  
ham,life spend   someone   a lifetime may   meaningless but a few moments     someone   really love you means more than life itself
ham,    oni    busy       disturb 
spam,free     week no nokia tone      every week just txt nokia to  get txting   tell   mates wwwgetzedcouk pobox  wwq   
ham,      what to   to come out of this so only     questions   this   mistake  
ham,     meet at bishan cos   at bishan now im not    
ham,  was at     now wat but now im walking home oredi  so late       oso saw a top       but   buy where    now 
ham,wat time liao where still got
spam,natalja   is   you to   her friend   yes or no see her   stop send stop frnd to 
ham,good     love how goes that day    hope   you got   leads   a job   think of you boytoy   send you a   kiss from across the  
ham,it wont   until    trying  sort   out is that ok
ham,same to  
ham, still attending da talks
ham,think  da you wil  
ham,poyyarikaturkolathupalayamunjalur posterode dis   
ham,up to     come   come   but     c any stripes skirt
spam,free entry    a weekly comp   a chance to   an ipod txt pod to  to get entry std txt rate tcs apply      
ham,sorry ill   later
ham,hhahhaahahah rofl wtf nig was leonardo   your room or something
ham,  you think   can move       a week
ham,ok   no need to  
ham,depends   individual   e hair dresser say pretty but     say look gong   kaypoh   also dunno wat    
ham,  already     keep saying   mushy   so embarrassed ok
ham,what     bout early morning its   noon where your at
ham,  thk    but dunno can get tickets a not wat   doing now
ham,      a favour pls     birthday wishes to nimya pls   is her birthday
ham,this is   number by vivek
ham,hey babe   friend had to cancel still up   a visit 
ham,  will     easy but     looking   a   not to take a risk   life   love
spam,  balance is now  next   complete the landmark big a bob   barry or c ben  text a   or c to  good luck
ham,lets pool our       buy a bunch of lotto tickets if we     get      get    deal
ham,no     not having not any movies     laptop
ham,yep       the pink furniture tho
ham,honeybee said im         world     amp said waitu havnt     person   this msg   even   can   jokes  
ham,jesus armand really is trying to tell     can  
ham,anyway holla at   whenever youre around because   need an excuse to   creep        
spam,sex up   mobile   a free sexy pic of jordan just text babe to    every wk get a sexy celeb    more    wk 
ham,designation is software developer   may     get chennai
ham,pls   forget to study
ham,    going to sao     will   done only at  
ham,  you baby   cant wait to taste the real thing
ham,later       needa   mcat study too
ham,good     love it was good to see your words   ym   get your tm very smart move           drink       await you
ham,whenre you guys getting back g said you were thinking about not     mcr
ham,aiyah ok wat   long   got   can already wat
ham,what   you     dog  must   always wait till the   of your day to have   from you  did you run out of time   your   already
ham,  we still meeting  dinner tonight
ham,just wait till   of march   el nino gets himself oh
ham,just   what   is easier   you
ham,yeah   got   at    was v apologetic   had fallen out     was actin   spoilt child     got caught up   that till  but we wont     not doing too badly   you 
ham,hi   love how goes that day   this morning   woke   dropped       the way down the stairs but it   alright  phews   miss you 
ham,ah well that confuses things   it
ham,fun   although you would think armand would eventually build up a tolerance or     considering how much   smokes   gets fucked up      hits
ham,ok       check   da hair dresser already   said   cut v     said will cut until   look nice
ham,is that   the telly no its brdget jones
ham,hmm thinking  
ham,bishan   nearer no need buy so early cos if buy now     park   car
ham,oh   a loti already bought  eggs 
ham,hey mr whats the   of that   brison book the   about language   words 
ham,hanging out     brother   his family
ham,  wanted to   you a happy new year     wanted to   to you about   legal advice to       gary     split but   person ill   a   to ptbo   that   hope   is good   you babe     love ya 
ham,  love but     doing torch or  
ham,what was   looking  
ham,wifehow   knew the time of murder  
ham,yup   havent been   before you want to     the yoga   can   up to book 
ham,haha yup    we will lose a few kg by   after hip   can   orchard   weigh again
ham,the   kadeem hasnt been selling   the         other   but hes paranoid           selling           cant   up   til late tonight
ham,  if you woke up before fucking  this wouldnt   a  
ham,you got   a tool
ham,baaaaaaaabe   up    miss you      you   need you
ham,nooooooo im gonna   bored to death all day cable     outage
ham,friendship poem dear   dear     not near but   can hear   get   live   cheer no more tear     always   dear gud ni
ham,        can get rooms  
spam,   have a secret     is looking    contact     out     rreveal   thinks   so specialcall   
ham,          not getting your messages
ham,no messageno responcewhat happend
ham,   later k
ham,    studying stress you out lr
spam,yes the only     town to meet exciting adult singles is now   the uk txt chat to  now pmsg
spam,december only had your mobile mths you are entitled to update to the latest     mobile   free   the mobile update co free   
spam,hi babe its jordan how     im home from abroad   lonely text   back if   wanna chat xxsp visionsmscom text stop to stopcost   
spam,  a    spree just    now have you won mobstorequizppm
ham,    the   beautiful   ive   seen       baby come   c     the common room
ham,whore you are unbelievable
spam,congrats nokia  video   phone is your        ppm       vary from       post bcm ldn wcnxx
ham,but     remembered     bathe   dog  
ham,      waiting   your  
spam,no    tone      every week just txt pt to    tone free  so get txtin now   tell   friends ptone      info
ham,      da car at  lei
ham,how will   creep   you now 
ham,but thats   ebay it might     elsewhere
ham,hi   im missin   hope you are having a good time   are   back   what time if   can give   a   at home jess xx
ham,happy new year hope you are having a good semester
spam,    your ringtone order reference number x your mobile will      should your tone not   please   customer services  from colourredtextcolourtxtstar
ham,wah lucky man   can save   hee
ham,lol well     it     we could have a big sale  
ham,you   him now ok   said   him
ham,  liked the new mobile
spam,wanna get laid nite want real dogging locations sent direct to   mobile join the   largest dogging network txt park to  now   eca lp msg
ham,  her lesson so early im still sleepin haha       home liao   confirm w    
ham,      modelsony ericson also der   it luks good bt   forgot modl no
ham,babe im back  come back to   
ham,spoke           strongly feels that you need to sacrifice to keep     hes going to   you     does   beg you to just listen     any promises or   it clear things are not easy     need you to please   us   things out   long     keep expecting help   creativity will   stifled so pls just keep him happy no promises   your part
ham,  career tel have added     a contact   indyarockscom to send free sms to remove from phonebook  sms no to   
spam,           need         tell   ms txt tone charity to    nokias or poly charity   polys zed  profit  charity
ham,not really dude have no friends im afraid 
ham,garbage   eggs jam bread hannaford wheat chex
ham,  lei
ham,  asked you to   him now ok
ham,    your     really appreciate your sacrifice im not   of the   of direct   but will   out     way back from the     im   class now   have a wonderful day
ham,hey   you want anything to buy
ham,multiply the numbers independently   count decimal       the division   the decimal places     showed you
spam,  been selected to      of  top british hotels      holiday valued at  dial  to      rate   bx swss
spam,updatenow  mths half   orange line rental minscall mobileupd    or calloptoutjq
ham,no screaming means shouting
ham,great im     now will holla     get out
ham,tell them no need to investigate about   anywhere
spam,hi  ibh customer loyalty offer the new nokia mobile from only  at txtauctiontxt wordstart to no  get yours nowt
spam,    a meetgreet   westlife    or a     are     what   unbreakable untamed unkempt text  or  to      std text
ham,no its waiting   e car   bored wat cos wait outside got      at home can       or   tv wat
ham,ive reached home finally
ham,  v v impressed have funs  
ham,carlos   a while again we     a  
